State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
California,La Habra,225,54,85,1,1,33,0,46,2,9,21,1,7,0,2,54,43,0,584,32224
Florida,North Lauderdale,24,2,427,0,28,8,0,2,1,2,2,6,52,0,1,14,15,0,584,9125
California,Baldwin Park,155,24,54,1,111,30,0,15,2,6,19,21,4,0,62,41,36,0,581,4597
Florida,Margate,23,2,426,0,28,8,0,2,1,2,1,4,50,0,1,13,15,0,576,7851
California,Cerritos,235,53,85,1,1,37,0,1,2,10,21,1,10,0,2,63,52,0,574,11449
Texas,Pflugerville,123,49,7,0,87,1,0,2,0,14,21,189,8,0,2,37,30,0,570,18345
Texas,Cedar Park,121,50,7,0,87,1,0,2,0,14,21,190,8,0,2,36,30,0,569,4414
Florida,Coconut Creek,23,2,418,0,28,8,0,2,1,2,1,4,49,0,1,13,15,0,567,2780
Florida,Pompano Beach,23,2,418,0,28,8,0,2,1,2,1,4,49,0,1,13,15,0,567,12848
Texas,Round Rock,121,49,7,0,87,1,0,2,0,14,21,189,8,0,2,36,30,0,567,20223
California,San Gabriel,160,35,33,1,123,37,0,1,2,9,17,31,6,0,2,63,44,0,564,63855
California,Fullerton,216,55,84,1,1,32,0,46,2,8,21,1,7,0,1,49,40,0,564,24786
California,Los Angeles,154,34,20,1,123,36,0,1,2,10,19,41,6,0,2,67,46,0,562,37949
California,Oakley,28,10,387,0,28,4,0,5,4,5,4,12,51,0,3,8,12,0,561,48145
Massachusetts,Springfield,30,5,430,0,18,10,0,4,0,4,1,6,21,0,10,9,10,0,558,11456
Minnesota,Rochester,392,40,110,0,1,4,0,0,0,3,0,0,0,0,1,1,2,0,554,7153
California,Stanton,217,53,84,1,1,27,0,44,2,8,19,1,8,0,2,48,38,0,553,73313
California,Brea,212,49,85,1,1,31,0,45,2,7,21,1,7,0,1,47,41,0,551,7298
California,Westminster,213,52,84,1,1,26,0,44,2,8,19,1,8,0,2,48,38,0,547,80889
California,Anaheim,207,54,85,1,1,29,0,45,2,8,20,1,7,0,1,45,40,0,546,2431
Texas,Cedar Hill,136,18,10,0,151,24,0,24,2,16,1,14,8,0,4,72,65,0,545,3845
California,Covina,147,19,54,1,100,28,0,14,2,6,18,20,2,0,61,37,35,0,544,15315
California,Inglewood,148,33,20,1,116,35,0,1,2,10,19,39,6,0,2,63,47,0,542,31277
Massachusetts,Waltham,193,87,25,0,2,41,0,2,1,21,4,105,7,0,2,1,50,0,541,12126
Massachusetts,Newton,191,86,25,0,2,41,0,2,1,21,4,104,9,0,2,1,50,0,539,8721
California,Pittsburg,27,11,379,0,26,5,0,5,2,4,4,9,46,0,3,6,11,0,538,54116
California,Novato,77,23,11,0,91,2,0,17,2,7,19,57,132,0,1,38,59,0,536,46678
Arizona,Mesa,125,7,10,0,127,23,0,18,1,1,2,38,1,0,74,47,55,0,529,3630
Georgia,Dunwoody,274,42,74,0,2,2,0,34,0,6,5,31,4,0,4,1,50,0,529,2587
California,Long Beach,218,41,85,1,1,32,0,1,2,9,17,1,9,0,3,61,47,0,528,37387
California,Alhambra,160,35,33,1,122,0,0,1,2,9,17,31,6,0,2,63,45,0,527,1554
California,Placentia,205,46,84,1,1,31,0,44,2,7,18,1,6,0,1,43,37,0,527,54643
Georgia,Sandy Springs,273,43,73,0,2,2,0,34,0,6,5,30,4,0,4,1,50,0,527,5184
Texas,Euless,187,35,13,0,1,3,0,44,2,4,5,22,9,0,6,104,92,0,527,7649
Arizona,Tempe,125,7,8,0,127,22,0,18,1,1,2,38,1,0,74,47,55,0,526,6326
Massachusetts,Cambridge,190,84,25,0,2,41,0,2,1,22,4,93,8,0,2,1,49,0,524,2004
Massachusetts,Lawrence,152,69,18,0,99,38,0,2,1,19,3,75,2,0,2,1,42,0,523,4812
Texas,North Richland Hills,123,26,10,0,156,2,0,27,2,1,2,14,6,0,4,78,71,0,522,16990
California,Santa Cruz,12,37,154,0,6,6,0,1,2,2,21,238,31,0,3,4,4,0,521,69974
Massachusetts,Woburn,184,85,24,0,2,41,0,2,1,22,4,98,6,0,2,1,49,0,521,13046
California,Antioch,28,10,350,0,27,4,0,5,4,5,4,11,49,0,3,8,12,0,520,2951
Arizona,Gilbert,119,7,10,0,125,17,0,17,1,10,1,38,1,0,74,45,54,0,519,2082
California,Brentwood,28,10,359,0,24,3,0,5,4,5,3,10,46,0,3,7,12,0,519,7817
Georgia,Marietta,272,37,73,0,2,2,0,33,0,6,5,29,4,0,4,1,50,0,518,3635
California,Diamond Bar,163,28,68,1,112,26,0,13,2,6,15,1,5,0,1,39,37,0,517,19293
Illinois,Park Ridge,260,50,31,0,1,3,0,2,0,15,6,39,2,0,5,3,98,1,516,13409
Washington,Burien,118,65,3,0,125,1,0,2,1,15,3,83,2,0,5,42,50,0,515,2557
California,Culver City,136,33,11,1,110,34,0,1,2,10,18,40,6,0,2,61,49,0,514,15829
Georgia,Atlanta,272,38,72,0,2,2,0,33,0,5,6,27,4,0,4,1,48,0,514,1281
